orb_ID,place,summary,theme,time,memory type,year,area,residence,trigger,weather,connection,transformation
digital_2,Residential area,"Seattle summer nights: barefoot sidewalks, still-light sky, and a fan in the door.","outdoor activity,people",Childhood (ages 0-12),Shared between myself and specific others,2002,Mixed/unsure,No,"people,places,weather,smells,textures",It is a primary aspect of the memory,My home,"No, it remains largely the same"
digital_20,Mountain,"Backpacking the North Cascades, the Olympics, and Rainier, mountains as home base.",outdoor activity,Young adulthood (ages 18-25),Shared between myself and specific others,1998,Mixed/unsure,No,"places,weather,events,holidays,other",Unsure,"My current self,My past self,My home,Specific people involved in the memory,A broader community,The place itself,A particular time in my life","No, it remains largely the same"
digital_21,Entertainment venue or arena,Annual corn maze on Sauvie Island with the starry sky and muffled distant noise.,people,Ongoing (this is a recurring or continuous experience),Personal and specific to me,1997,"Urban (city center, dense downtown area)",Yes,"places,visual media,textures,holidays,other",It is a primary aspect of the memory,"My current self,My past self,My home,A particular time in my life","No, it remains largely the same"
digital_22,Forest,"Forest trails at Mount Rainier with cold air, huge trees, and a feeling of home.",nature itself,Childhood (ages 0-12),"Shared by a collective group, culture, or community",1996,"Urban (city center, dense downtown area)",Yes,"places,weather,smells","It is a primary aspect of the memory,It is a secondary aspect of the memory,It enhances my emotional experience when recalling it","My current self,My past self,My home,A broader community,The place itself,A particular time in my life",Unsure
digital_23,Coastline or beach,"Fourth of July on the water, a day of volleyball and the family together.",people,Childhood (ages 0-12),Shared between myself and specific others,1996,"Rural (countryside, farmland, small towns)",Yes,"places,food or drink,weather,events,holidays",It is a primary aspect of the memory,"My past self,The place itself,A particular time in my life","No, it remains largely the same"
digital_24,Central/main street,"Portland neighborhoods during college, COVID lockdown built around restaurants and streets.",general,Young adulthood (ages 18-25),"Shared by a collective group, culture, or community",1995,Mixed/unsure,No,"people,places,food or drink,weather,music,visual media,interactions and conversations,events",It is a secondary aspect of the memory,"My past self,Specific people involved in the memory,A broader community,The place itself,A particular time in my life","No, it remains largely the same"
digital_25,Coastline or beach,"Thanksgiving on the Oregon coast with rain, wind, and sand stinging bare ankles.",nature itself,Childhood (ages 0-12),"Shared by a collective group, culture, or community",1994,Mixed/unsure,No,"smells,other",It triggers my memory,"My home,The place itself","No, it remains largely the same"
digital_26,Central/main street,"Walking to a bakery with dad on weekends for donuts, milk, and small-town windows.",people,Childhood (ages 0-12),Shared between myself and specific others,1991,Mixed/unsure,Yes,"places,food or drink,weather,visual media,smells,textures","It is a secondary aspect of the memory,It enhances my emotional experience when recalling it",A particular time in my life,Unsure
digital_3,Forest,"Walks through Pacific Northwest forest finding ferns, snails, berries, and hearing birdsong.","nature itself,outdoor activity ",Ongoing (this is a recurring or continuous experience),"Shared by a collective group, culture, or community",2002,Mixed/unsure,Yes,"places,physical objects,weather,smells,textures","It is a secondary aspect of the memory,It enhances my emotional experience when recalling it,It triggers my memory","My current self,My past self,My home,The place itself","Yes, it has changed significantly"
digital_4,Coastline or beach,Drives through thickening forest and fog to visit grandparents on coast.,family trip,Childhood (ages 0-12),Shared between myself and specific others,2002,Mixed/unsure,Yes,"places,weather,smells,holidays","It is a secondary aspect of the memory,It enhances my emotional experience when recalling it","My past self,Specific people involved in the memory,The place itself,A particular time in my life","No, it remains largely the same"
digital_5,Mountain,"Yearly Sunriver winter trips with sledding in fresh snow, quiet and cold with bright white light.","family trip,outdoor activity",Childhood (ages 0-12),Shared between myself and specific others,2001,"Urban (city center, dense downtown area)",No,"people,places,weather","It is a primary aspect of the memory,It enhances my emotional experience when recalling it,It triggers my memory","My past self,My home,Specific people involved in the memory",Unsure
digital_6,Coastline or beach,A coastline memory from adolescence in Washington with sparse detail left behind.,general,Adolescence (ages 13-18),,2001,"Urban (city center, dense downtown area)",Yes,,,,
digital_8,Mountain,Overnight at a fire lookout with friends watching sunrise in cold mountain silence.,"people,outdoor activity",Adolescence (ages 13-18),Shared between myself and specific others,2001,Suburban (residential areas outside city centers),No,"people,places,weather,interactions and conversations","It is a primary aspect of the memory,It is a secondary aspect of the memory","My past self,My home,Specific people involved in the memory,The place itself","No, it remains largely the same"
digital_9,Forest,A snow-bent fir branch became a winter shelter for siblings in cold dark green woods.,"people,outdoor activity",Childhood (ages 0-12),Shared between myself and specific others,2001,"Rural (countryside, farmland, small towns)",Yes,"weather,interactions and conversations",It is a primary aspect of the memory,"My home,The place itself,A particular time in my life",Unsure
